description,style,material,color,dimensions,assembly_required,category
Mid-century walnut wood coffee table with tapered legs, 48x24 inches, no assembly required,Mid-century,Walnut Wood,Brown,48x24 inches,No,Coffee Table
Modern grey velvet sofa with tufted backrest, 72x34 inches, requires assembly,Modern,Velvet,Grey,72x34 inches,Yes,Sofa
Industrial black metal bar stool with wooden seat, adjustable height,Industrial,Metal and Wood,Black,,No,Bar Stool
Scandinavian oak dining chair set of 2 with cushioned seat in beige,Scandinavian,Oak Wood,Beige,,No,Dining Chair
Rustic reclaimed wood bookshelf, 5-tier, dark brown finish,Rustic,Reclaimed Wood,Brown,,Yes,Bookshelf
Modern white TV stand with glass shelves, 60x18 inches, requires assembly,Modern,Glass and Wood,White,60x18 inches,Yes,TV Stand
Industrial metal and wood side table with black frame,Industrial,Metal and Wood,Black,20x20 inches,No,Side Table
Scandinavian pine wood bed frame in natural finish, 80x60 inches, requires assembly,Scandinavian,Pine Wood,Brown,80x60 inches,Yes,Bed Frame
Mid-century walnut dining table with tapered legs, 72x36 inches,Mid-century,Walnut Wood,Brown,72x36 inches,No,Dining Table
Modern blue velvet accent chair with gold legs,Modern,Velvet,Blue,,Yes,Accent Chair
Rustic farmhouse coffee table in reclaimed wood, 50x28 inches,Rustic,Reclaimed Wood,Brown,50x28 inches,No,Coffee Table
Industrial bookshelf with metal frame and oak shelves,Industrial,Metal and Oak Wood,Brown,70x30 inches,Yes,Bookshelf
Scandinavian beige fabric sofa, 3-seater, requires assembly,Scandinavian,Fabric,Beige,,Yes,Sofa
Modern black leather recliner chair with padded armrests,Modern,Leather,Black,,No,Recliner Chair
Rustic pine wood TV stand with storage cabinets,Rustic,Pine Wood,Brown,58x18 inches,Yes,TV Stand
Mid-century walnut sideboard with brass handles,Mid-century,Walnut Wood,Brown,65x20 inches,No,Sideboard
Industrial bar stool with black metal frame and brown wooden seat,Industrial,Metal and Wood,Black,,No,Bar Stool
Scandinavian white study desk with oak legs,Scandinavian,Wood,White,48x24 inches,Yes,Desk
Modern glass coffee table with chrome base,Modern,Glass,Transparent,42x22 inches,Yes,Coffee Table
Rustic dark brown bookshelf with 6 shelves,Rustic,Wood,Brown,72x30 inches,No,Bookshelf
Modern grey fabric sectional sofa, 5-seater,Modern,Fabric,Grey,,Yes,Sofa
Industrial console table with reclaimed wood top,Industrial,Wood,Brown,55x16 inches,No,Console Table
Scandinavian oak wardrobe with sliding doors,Scandinavian,Oak Wood,Brown,78x24 inches,Yes,Wardrobe
Mid-century walnut TV stand with open shelving,Mid-century,Walnut Wood,Brown,60x18 inches,No,TV Stand
Modern white office desk with drawers,Modern,Engineered Wood,White,50x24 inches,Yes,Desk
Rustic farmhouse dining chair in distressed finish,Rustic,Wood,Brown,,No,Dining Chair
Industrial black metal bed frame with headboard,Industrial,Metal,Black,80x60 inches,Yes,Bed Frame
Scandinavian pine coffee table with storage shelf,Scandinavian,Pine Wood,Brown,44x22 inches,No,Coffee Table
Modern beige loveseat sofa with wooden legs,Modern,Fabric,Beige,,Yes,Sofa
Mid-century walnut writing desk with drawers,Mid-century,Walnut Wood,Brown,48x24 inches,No,Desk
Rustic reclaimed wood side table, 18x18 inches,Rustic,Reclaimed Wood,Brown,18x18 inches,No,Side Table
Industrial bookshelf with pipe-style metal frame,Industrial,Metal,Black,75x30 inches,Yes,Bookshelf
Scandinavian oak nightstand with single drawer,Scandinavian,Oak Wood,Brown,20x18 inches,No,Nightstand
Modern black leather sofa, 3-seater,Modern,Leather,Black,,Yes,Sofa
Mid-century walnut dining chair with curved backrest,Mid-century,Walnut Wood,Brown,,No,Dining Chair
Rustic wooden bench with storage compartment,Rustic,Wood,Brown,48x16 inches,No,Bench
Industrial TV stand with mesh cabinet doors,Industrial,Metal and Wood,Black,60x18 inches,Yes,TV Stand
Scandinavian white bookshelf with oak accents,Scandinavian,Wood,White,70x28 inches,Yes,Bookshelf
Modern glass dining table with metal legs,Modern,Glass and Metal,Transparent,72x36 inches,Yes,Dining Table
Mid-century walnut coffee table with lower shelf,Mid-century,Walnut Wood,Brown,48x24 inches,No,Coffee Table
Rustic farmhouse console table in dark brown,Rustic,Wood,Brown,54x14 inches,No,Console Table
Industrial adjustable bar stool with swivel seat,Industrial,Metal,Black,,Yes,Bar Stool
Scandinavian beige armchair with oak legs,Scandinavian,Fabric,Beige,,No,Armchair
Modern grey TV stand with LED lighting,Modern,Engineered Wood,Grey,65x18 inches,Yes,TV Stand
Mid-century walnut bookshelf with open compartments,Mid-century,Walnut Wood,Brown,72x30 inches,No,Bookshelf
Rustic pine wood dining table, 68x34 inches,Rustic,Pine Wood,Brown,68x34 inches,Yes,Dining Table
Industrial coffee table with metal frame and wood top,Industrial,Metal and Wood,Brown,46x24 inches,No,Coffee Table
Scandinavian oak dining bench with cushioned seat,Scandinavian,Oak Wood,Beige,50x15 inches,No,Bench
Modern blue fabric sofa bed with foldable design,Modern,Fabric,Blue,,Yes,Sofa Bed